REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
SA1,2026/02/01 00:05:00,1504.61,48.98,TRADE
SA1,2026/02/01 00:10:00,1518,58.34,TRADE
SA1,2026/02/01 00:15:00,1510.25,37.99,TRADE
SA1,2026/02/01 00:20:00,1539.2,39.56,TRADE
SA1,2026/02/01 00:25:00,1552.82,31.31,TRADE
SA1,2026/02/01 00:30:00,1572.72,55.13,TRADE
SA1,2026/02/01 00:35:00,1556.53,31.31,TRADE
SA1,2026/02/01 00:40:00,1565.82,43.65,TRADE
SA1,2026/02/01 00:45:00,1551.51,29.41,TRADE
SA1,2026/02/01 00:50:00,1552.21,33.32,TRADE
SA1,2026/02/01 00:55:00,1552.58,44.78,TRADE
SA1,2026/02/01 01:00:00,1534.79,60.67,TRADE
SA1,2026/02/01 01:05:00,1525.45,46.53,TRADE
SA1,2026/02/01 01:10:00,1533.81,44.31,TRADE
SA1,2026/02/01 01:15:00,1517.33,48,TRADE
SA1,2026/02/01 01:20:00,1491.89,45.01,TRADE
SA1,2026/02/01 01:25:00,1497.49,54.79,TRADE
SA1,2026/02/01 01:30:00,1484.91,43.54,TRADE
SA1,2026/02/01 01:35:00,1474.28,59.64,TRADE
SA1,2026/02/01 01:40:00,1464.55,33.30,TRADE
SA1,2026/02/01 01:45:00,1474.15,42.87,TRADE
SA1,2026/02/01 01:50:00,1484.3,32.83,TRADE
SA1,2026/02/01 01:55:00,1464.03,30.38,TRADE
SA1,2026/02/01 02:00:00,1464.3,31.93,TRADE
SA1,2026/02/01 02:05:00,1459.29,37.91,TRADE
SA1,2026/02/01 02:10:00,1483.2,47.07,TRADE
SA1,2026/02/01 02:15:00,1451.68,46.87,TRADE
SA1,2026/02/01 02:20:00,1444.69,33.02,TRADE
SA1,2026/02/01 02:25:00,1454.59,37.28,TRADE
SA1,2026/02/01 02:30:00,1439.88,47.75,TRADE
SA1,2026/02/01 02:35:00,1413.04,39.17,TRADE
SA1,2026/02/01 02:40:00,1416.08,58.38,TRADE
SA1,2026/02/01 02:45:00,1422.44,33.05,TRADE
SA1,2026/02/01 02:50:00,1419.98,33.75,TRADE
SA1,2026/02/01 02:55:00,1413.95,45.29,TRADE
SA1,2026/02/01 03:00:00,1412.43,28.85,TRADE
SA1,2026/02/01 03:05:00,1417.99,45.82,TRADE
SA1,2026/02/01 03:10:00,1421.06,42.22,TRADE
SA1,2026/02/01 03:15:00,1395.77,41.84,TRADE
SA1,2026/02/01 03:20:00,1388.68,45.26,TRADE
SA1,2026/02/01 03:25:00,1385.66,44.98,TRADE
SA1,2026/02/01 03:30:00,1375.34,47.66,TRADE
SA1,2026/02/01 03:35:00,1368.86,31.23,TRADE
SA1,2026/02/01 03:40:00,1381.23,45.44,TRADE
SA1,2026/02/01 03:45:00,1384.95,44.99,TRADE
SA1,2026/02/01 03:50:00,1386.61,44.98,TRADE
SA1,2026/02/01 03:55:00,1387.34,44.65,TRADE
SA1,2026/02/01 04:00:00,1386.48,35.52,TRADE
SA1,2026/02/01 04:05:00,1391.36,47.80,TRADE
SA1,2026/02/01 04:10:00,1394.12,46.64,TRADE
SA1,2026/02/01 04:15:00,1383.85,41,TRADE
SA1,2026/02/01 04:20:00,1390.47,27.17,TRADE
SA1,2026/02/01 04:25:00,1397.35,34.99,TRADE
SA1,2026/02/01 04:30:00,1390.04,33.03,TRADE
SA1,2026/02/01 04:35:00,1382.06,33.51,TRADE
SA1,2026/02/01 04:40:00,1405.19,45.33,TRADE
SA1,2026/02/01 04:45:00,1380.04,37.33,TRADE
SA1,2026/02/01 04:50:00,1405.5,37.47,TRADE
SA1,2026/02/01 04:55:00,1385.43,37.74,TRADE
SA1,2026/02/01 05:00:00,1399.28,40.73,TRADE
SA1,2026/02/01 05:05:00,1381.36,38.17,TRADE
SA1,2026/02/01 05:10:00,1388.63,40.74,TRADE
SA1,2026/02/01 05:15:00,1383.42,32.61,TRADE
SA1,2026/02/01 05:20:00,1383.68,33.48,TRADE
SA1,2026/02/01 05:25:00,1383.36,33.54,TRADE
SA1,2026/02/01 05:30:00,1375.12,33.49,TRADE
SA1,2026/02/01 05:35:00,1374.55,33.51,TRADE
SA1,2026/02/01 05:40:00,1364.94,36.33,TRADE
SA1,2026/02/01 05:45:00,1362.63,32.18,TRADE
SA1,2026/02/01 05:50:00,1385.26,32.20,TRADE
SA1,2026/02/01 05:55:00,1400.03,32.14,TRADE
SA1,2026/02/01 06:00:00,1409.58,30.69,TRADE
SA1,2026/02/01 06:05:00,1382.28,37.85,TRADE
SA1,2026/02/01 06:10:00,1398,36.22,TRADE
SA1,2026/02/01 06:15:00,1385.87,33.66,TRADE
SA1,2026/02/01 06:20:00,1381.08,46.54,TRADE
SA1,2026/02/01 06:25:00,1370.85,47.71,TRADE
SA1,2026/02/01 06:30:00,1343.13,41.42,TRADE
SA1,2026/02/01 06:35:00,1369.08,41.79,TRADE
SA1,2026/02/01 06:40:00,1374.82,41.61,TRADE
SA1,2026/02/01 06:45:00,1332.87,36.83,TRADE
SA1,2026/02/01 06:50:00,1332.21,36.89,TRADE
SA1,2026/02/01 06:55:00,1334.31,35.14,TRADE
SA1,2026/02/01 07:00:00,1313.18,24.14,TRADE
SA1,2026/02/01 07:05:00,1266.4,48.09,TRADE
SA1,2026/02/01 07:10:00,1249.95,48.28,TRADE
SA1,2026/02/01 07:15:00,1231.7,48.66,TRADE
SA1,2026/02/01 07:20:00,1200.14,47.80,TRADE
SA1,2026/02/01 07:25:00,1199.2,36.27,TRADE
