REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
SA1,2026/03/01 00:05:00,1454.4,51.59,TRADE
SA1,2026/03/01 00:10:00,1493.85,51.55,TRADE
SA1,2026/03/01 00:15:00,1488.79,51.98,TRADE
SA1,2026/03/01 00:20:00,1537.65,52.82,TRADE
SA1,2026/03/01 00:25:00,1525.94,52.96,TRADE
SA1,2026/03/01 00:30:00,1537.46,54.13,TRADE
SA1,2026/03/01 00:35:00,1534.43,54.39,TRADE
SA1,2026/03/01 00:40:00,1547.48,51.53,TRADE
SA1,2026/03/01 00:45:00,1544.03,55.57,TRADE
SA1,2026/03/01 00:50:00,1556.69,57.08,TRADE
SA1,2026/03/01 00:55:00,1537.51,56.14,TRADE
SA1,2026/03/01 01:00:00,1532.75,51.57,TRADE
SA1,2026/03/01 01:05:00,1528.89,52.66,TRADE
SA1,2026/03/01 01:10:00,1506.51,53.15,TRADE
SA1,2026/03/01 01:15:00,1502.31,52.26,TRADE
SA1,2026/03/01 01:20:00,1491.68,36.78,TRADE
SA1,2026/03/01 01:25:00,1509.09,36.60,TRADE
SA1,2026/03/01 01:30:00,1497.88,36.54,TRADE
SA1,2026/03/01 01:35:00,1499.99,37.71,TRADE
SA1,2026/03/01 01:40:00,1484.92,40.20,TRADE
SA1,2026/03/01 01:45:00,1475,13.81,TRADE
SA1,2026/03/01 01:50:00,1522.5,37.36,TRADE
SA1,2026/03/01 01:55:00,1489.72,21.02,TRADE
SA1,2026/03/01 02:00:00,1516.15,26.99,TRADE
SA1,2026/03/01 02:05:00,1524.59,39.98,TRADE
SA1,2026/03/01 02:10:00,1499.8,20.53,TRADE
SA1,2026/03/01 02:15:00,1513.95,21.58,TRADE
SA1,2026/03/01 02:20:00,1498.42,46.17,TRADE
SA1,2026/03/01 02:25:00,1445.44,18.84,TRADE
SA1,2026/03/01 02:30:00,1474.71,25.57,TRADE
SA1,2026/03/01 02:35:00,1450.09,28.10,TRADE
SA1,2026/03/01 02:40:00,1432.39,32.24,TRADE
SA1,2026/03/01 02:45:00,1404.77,17.22,TRADE
SA1,2026/03/01 02:50:00,1433.57,23.99,TRADE
SA1,2026/03/01 02:55:00,1428.22,21.65,TRADE
SA1,2026/03/01 03:00:00,1429.16,32.77,TRADE
SA1,2026/03/01 03:05:00,1414.55,21.64,TRADE
SA1,2026/03/01 03:10:00,1441.59,24.23,TRADE
SA1,2026/03/01 03:15:00,1430.28,25.06,TRADE
SA1,2026/03/01 03:20:00,1436.9,19.61,TRADE
SA1,2026/03/01 03:25:00,1463.3,32.10,TRADE
SA1,2026/03/01 03:30:00,1418.89,26.50,TRADE
SA1,2026/03/01 03:35:00,1417.15,28.28,TRADE
SA1,2026/03/01 03:40:00,1406.79,58.58,TRADE
SA1,2026/03/01 03:45:00,1386.31,25.74,TRADE
SA1,2026/03/01 03:50:00,1407.55,24.99,TRADE
SA1,2026/03/01 03:55:00,1414.67,17.60,TRADE
SA1,2026/03/01 04:00:00,1416.72,58.58,TRADE
SA1,2026/03/01 04:05:00,1388.56,15.01,TRADE
SA1,2026/03/01 04:10:00,1385.09,25.93,TRADE
SA1,2026/03/01 04:15:00,1386.99,26.74,TRADE
SA1,2026/03/01 04:20:00,1360.07,10.03,TRADE
SA1,2026/03/01 04:25:00,1370.51,16.22,TRADE
SA1,2026/03/01 04:30:00,1375.82,27.05,TRADE
SA1,2026/03/01 04:35:00,1346.6,14.24,TRADE
SA1,2026/03/01 04:40:00,1382.5,58.58,TRADE
SA1,2026/03/01 04:45:00,1356.04,13.95,TRADE
SA1,2026/03/01 04:50:00,1368.09,29.82,TRADE
SA1,2026/03/01 04:55:00,1366.88,30.85,TRADE
SA1,2026/03/01 05:00:00,1363.58,20.66,TRADE
SA1,2026/03/01 05:05:00,1355.68,27.91,TRADE
SA1,2026/03/01 05:10:00,1340.45,29.18,TRADE
SA1,2026/03/01 05:15:00,1342.72,19.46,TRADE
SA1,2026/03/01 05:20:00,1370.24,14.18,TRADE
SA1,2026/03/01 05:25:00,1352.07,14.05,TRADE
SA1,2026/03/01 05:30:00,1379.34,22.65,TRADE
SA1,2026/03/01 05:35:00,1371.08,21.36,TRADE
SA1,2026/03/01 05:40:00,1348.85,21.14,TRADE
SA1,2026/03/01 05:45:00,1340.26,24,TRADE
SA1,2026/03/01 05:50:00,1329.39,27.15,TRADE
SA1,2026/03/01 05:55:00,1341.79,28.40,TRADE
SA1,2026/03/01 06:00:00,1340.78,27.38,TRADE
SA1,2026/03/01 06:05:00,1357.93,31.45,TRADE
SA1,2026/03/01 06:10:00,1347.74,27.60,TRADE
SA1,2026/03/01 06:15:00,1364.16,29.27,TRADE
SA1,2026/03/01 06:20:00,1364.2,24.14,TRADE
SA1,2026/03/01 06:25:00,1367.33,18.40,TRADE
SA1,2026/03/01 06:30:00,1384.79,26.07,TRADE
SA1,2026/03/01 06:35:00,1352.6,39.19,TRADE
SA1,2026/03/01 06:40:00,1364.22,21.62,TRADE
SA1,2026/03/01 06:45:00,1380.21,14.48,TRADE
SA1,2026/03/01 06:50:00,1385.93,12.19,TRADE
SA1,2026/03/01 06:55:00,1411.22,65.73,TRADE
SA1,2026/03/01 07:00:00,1366.33,0.77,TRADE
SA1,2026/03/01 07:05:00,1380.69,58.58,TRADE
SA1,2026/03/01 07:10:00,1326.02,14.78,TRADE
SA1,2026/03/01 07:15:00,1317.68,21.35,TRADE
SA1,2026/03/01 07:20:00,1332.13,65.73,TRADE
SA1,2026/03/01 07:25:00,1329.5,95.44,TRADE
SA1,2026/03/01 07:30:00,1319.73,95.44,TRADE
SA1,2026/03/01 07:35:00,1322.83,95.44,TRADE
SA1,2026/03/01 07:40:00,1330.46,95.44,TRADE
SA1,2026/03/01 07:45:00,1343.75,125,TRADE
SA1,2026/03/01 07:50:00,1333.28,170.44,TRADE
SA1,2026/03/01 07:55:00,1322.61,65.73,TRADE
SA1,2026/03/01 08:00:00,1346.34,125,TRADE
SA1,2026/03/01 08:05:00,1334.99,11.33,TRADE
SA1,2026/03/01 08:10:00,1349.61,125,TRADE
SA1,2026/03/01 08:15:00,1371.38,138.04,TRADE
SA1,2026/03/01 08:20:00,1351.66,35.95,TRADE
SA1,2026/03/01 08:25:00,1369.79,65.73,TRADE
SA1,2026/03/01 08:30:00,1381.45,13.16,TRADE
SA1,2026/03/01 08:35:00,1395.44,13.17,TRADE
SA1,2026/03/01 08:40:00,1376.67,65.73,TRADE
SA1,2026/03/01 08:45:00,1374.41,16.20,TRADE
SA1,2026/03/01 08:50:00,1376.46,12.89,TRADE
SA1,2026/03/01 08:55:00,1366.6,35.94,TRADE
SA1,2026/03/01 09:00:00,1366.53,137.99,TRADE
SA1,2026/03/01 09:05:00,1332.67,12.89,TRADE
SA1,2026/03/01 09:10:00,1345.99,220.66,TRADE
SA1,2026/03/01 09:15:00,1267.64,9.10,TRADE
SA1,2026/03/01 09:20:00,1323.64,125,TRADE
SA1,2026/03/01 09:25:00,1316.3,138.04,TRADE
SA1,2026/03/01 09:30:00,1319.73,125,TRADE
SA1,2026/03/01 09:35:00,1306.01,125,TRADE
SA1,2026/03/01 09:40:00,1349.51,275.98,TRADE
SA1,2026/03/01 09:45:00,1292.21,70,TRADE
SA1,2026/03/01 09:50:00,1370.67,225,TRADE
SA1,2026/03/01 09:55:00,1347.81,9.10,TRADE
SA1,2026/03/01 10:00:00,1417.38,220.80,TRADE
SA1,2026/03/01 10:05:00,1334.45,35.94,TRADE
SA1,2026/03/01 10:10:00,1400.34,220.66,TRADE
SA1,2026/03/01 10:15:00,1341.61,9.10,TRADE
SA1,2026/03/01 10:20:00,1440.07,65.73,TRADE
SA1,2026/03/01 10:25:00,1408.59,117.16,TRADE
SA1,2026/03/01 10:30:00,1375.59,65.73,TRADE
