schedulerId,startTs,completeTs,schedulerDurationMs,enabledUsers,cycles,tooSoon,errors,deadLetter,retries,queueLagAvgMs,queueLagMaxMs,cycleAvgMs,cycleMaxMs,segmentSendCount,segmentRules,tailStatus,tailObservedRuns,tailMinRuns,tailRunsAbove,tailLatestP99Ms
1773206641572_f17ljf3f9,2026-03-11T05:24:01.571112Z,2026-03-11T05:24:04.476529Z,2905,15,11,4,0,0,0,541,1379,1086,2005,0,"",healthy,15,10,1,2003
1773206701204_j054hmy7z,2026-03-11T05:25:01.203870Z,2026-03-11T05:25:01.725088Z,522,15,0,15,0,0,0,0,0,0,0,0,"",healthy,15,10,1,0
1773206760956_w6s19maxl,2026-03-11T05:26:00.955486Z,2026-03-11T05:26:14.738422Z,13783,15,12,3,0,0,0,1008,2168,2224,11420,1,"Expensive Grid Guard",healthy,15,10,2,10425
1773206821466_udo9ty13w,2026-03-11T05:27:01.465592Z,2026-03-11T05:27:01.936583Z,471,15,0,15,0,0,0,0,0,0,0,0,"",healthy,15,10,2,0
1773206880990_rp1so01s1,2026-03-11T05:28:00.990720Z,2026-03-11T05:28:04.440575Z,3451,15,10,5,0,0,0,453,453,1499,2668,0,"",healthy,15,10,2,2608
1773206940950_o9io9t7vi,2026-03-11T05:29:00.950070Z,2026-03-11T05:29:01.723624Z,774,15,1,14,0,0,0,323,323,207,207,0,"",healthy,15,10,2,207
1773207001491_vqycmk8hk,2026-03-11T05:30:01.491608Z,2026-03-11T05:30:08.632281Z,7141,15,12,3,0,0,0,721,1534,1412,6333,0,"",healthy,15,10,2,5849
1773207061302_45hp332zx,2026-03-11T05:31:01.301567Z,2026-03-11T05:31:03.342525Z,2040,15,1,14,0,0,0,368,368,1442,1442,0,"",healthy,15,10,2,1442
1773207121650_ap3vxzaez,2026-03-11T05:32:01.650619Z,2026-03-11T05:32:12.589674Z,10940,15,10,5,0,0,0,490,490,1881,10139,1,"Expensive Grid Guard",healthy,15,10,2,9397
1773207180976_o9kfepyze,2026-03-11T05:33:00.976103Z,2026-03-11T05:33:03.025166Z,2049,15,1,14,0,0,0,332,332,1449,1449,0,"",healthy,15,10,2,1449
1773207240955_26t0s7fxi,2026-03-11T05:34:00.955647Z,2026-03-11T05:34:11.636388Z,10681,15,12,3,0,0,0,702,1621,2017,9801,1,"Good Feed In",healthy,15,10,2,8966
1773207318058_dyis0ng4h,2026-03-11T05:35:18.058023Z,2026-03-11T05:35:21.122293Z,3064,15,10,5,0,0,0,782,783,1006,1840,0,"",healthy,16,10,2,1826
1773207361528_5pm5vc9uy,2026-03-11T05:36:01.528283Z,2026-03-11T05:36:02.002573Z,475,15,0,15,0,0,0,0,0,0,0,0,"",healthy,15,10,2,0
1773207426782_va54emre7,2026-03-11T05:37:06.781945Z,2026-03-11T05:37:10.342740Z,3561,15,12,3,0,0,0,647,1449,1226,2344,0,"",healthy,15,10,1,2329
1773207481571_1wwhm3jps,2026-03-11T05:38:01.570913Z,2026-03-11T05:38:04.326437Z,2755,15,1,14,0,0,0,604,604,1806,1806,0,"",healthy,15,10,1,1806
1773207540986_yv1x9shz8,2026-03-11T05:39:00.986329Z,2026-03-11T05:39:11.490384Z,10505,15,11,4,0,0,0,534,1444,1838,9815,1,"Expensive Grid Guard",healthy,15,10,1,9035
1773207602657_s8pzgl8d1,2026-03-11T05:40:02.657117Z,2026-03-11T05:40:04.139684Z,1482,15,6,9,0,0,0,238,238,675,1018,0,"",healthy,15,10,1,1018
1773207661531_2gplksssh,2026-03-11T05:41:01.531130Z,2026-03-11T05:41:04.270901Z,2740,15,6,9,0,0,0,411,411,1500,2109,0,"",healthy,15,10,0,2093
1773207720987_vr3hwaatf,2026-03-11T05:42:00.986581Z,2026-03-11T05:42:10.585336Z,9599,15,8,7,0,0,0,342,342,1524,9017,1,"Good Feed In",healthy,15,10,0,8490
1773207781489_3ka1abv6j,2026-03-11T05:43:01.489030Z,2026-03-11T05:43:04.887794Z,3399,15,8,7,0,0,0,447,448,1325,2707,0,"",healthy,15,10,0,2656
